Timestamp_ET,Ticker,RSI,Price,SPY_RSI,MA_200
``
2026-09-03T10:43:25-04:00,MMM,25.87,166.37,73.84,159.41
2026-09-03T10:43:25-04:00,ABT,0.91,108.1,73.84,105.39
2026-09-03T10:43:25-04:00,ABBV,13.75,259.87,73.84,225.66
2026-09-03T10:43:25-04:00,AES,5.93,14.8,73.84,14.3
2026-09-03T10:43:25-04:00,A,6.5,149.28,73.84,131.19
2026-09-03T10:43:25-04:00,APD,7.47,304.56,73.84,279.92
2026-09-03T10:43:25-04:00,ABNB,15.32,184.41,73.84,139.08
2026-09-03T10:43:25-04:00,ARE,4.07,52.32,73.84,49.15
2026-09-03T10:43:25-04:00,ALLE,9.53,155.37,73.84,150.42
2026-09-03T10:43:25-04:00,AMCR,5.96,45.58,73.84,42.1
2026-09-03T10:43:25-04:00,AIG,13.19,76.79,73.84,76.78
2026-09-03T10:43:25-04:00,AMT,20.54,177.09,73.84,175.36
2026-09-03T10:43:25-04:00,AWK,14.95,140.27,73.84,129.85
2026-09-03T10:43:25-04:00,AMGN,23.41,442.67,73.84,353.69
2026-09-03T10:43:25-04:00,APO,19.63,131.49,73.84,126.69
2026-09-03T10:43:25-04:00,ACGL,24.88,99.65,73.84,96.04
2026-09-03T10:43:25-04:00,AJG,17.59,266.16,73.84,233.08
2026-09-03T10:43:25-04:00,ADP,7.1,281.74,73.84,234.74
2026-09-03T10:43:25-04:00,AVY,9.51,171.25,73.84,170.94
2026-09-03T10:43:25-04:00,BALL,14.5,62.94,73.84,58.55
2026-09-03T10:43:25-04:00,BRK-B,13.12,505.89,73.84,492.41
2026-09-03T10:43:25-04:00,BBY,17.81,87.57,73.84,70.17
2026-09-03T10:43:25-04:00,BIIB,16.84,223.67,73.84,190.51
2026-09-03T10:43:25-04:00,BX,13.42,136.59,73.84,128.51
2026-09-03T10:43:25-04:00,BKNG,5.85,196.43,73.84,185.31
2026-09-03T10:43:25-04:00,BMY,22.9,67.5,73.84,57.09
2026-09-03T10:43:25-04:00,BR,6.81,177.07,73.84,175.95
2026-09-03T10:43:25-04:00,BF-B,22.8,27.37,73.84,26.97
2026-09-03T10:43:25-04:00,BG,28.7,120.47,73.84,112.69
2026-09-03T10:43:25-04:00,COF,18.28,218.42,73.84,205.93
2026-09-03T10:43:25-04:00,CAH,17.06,246.71,73.84,214.88
2026-09-03T10:43:25-04:00,CVNA,12.98,73.72,73.84,72.93
2026-09-03T10:43:25-04:00,CBOE,23.69,292.43,73.84,283.66
2026-09-03T10:43:25-04:00,COR,21.14,336.82,73.84,320.86
2026-09-03T10:43:25-04:00,CMG,5.98,37.73,73.84,34.79
2026-09-03T10:43:25-04:00,CHD,8.16,98.31,73.84,94.22
2026-09-03T10:43:25-04:00,CI,21.67,283.26,73.84,277.71
2026-09-03T10:43:25-04:00,CME,10.26,280.64,73.84,275.05
2026-09-03T10:43:25-04:00,KO,17.97,88.7,73.84,77.69
2026-09-03T10:43:25-04:00,CTSH,6.84,64.01,73.84,62.08
2026-09-03T10:43:25-04:00,CL,21.87,89.78,73.84,86.88
2026-09-03T10:43:25-04:00,CMCSA,10.22,26.58,73.84,26.42
2026-09-03T10:43:25-04:00,CPAY,6.38,416.48,73.84,336.22
2026-09-03T10:43:25-04:00,CTVA,14.14,88.45,73.84,76.82
2026-09-03T10:43:25-04:00,DHR,8.39,207.77,73.84,202.33
2026-09-03T10:43:25-04:00,DRI,9.95,217.54,73.84,198.57
2026-09-03T10:43:25-04:00,DDOG,14.4,214.04,73.84,175.94
2026-09-03T10:43:25-04:00,DE,19.34,692.38,73.84,565.04
2026-09-03T10:43:25-04:00,DXCM,3.31,89.12,73.84,70.58
2026-09-03T10:43:25-04:00,D,28.91,66.76,73.84,63.43
2026-09-03T10:43:25-04:00,DASH,9.65,224.57,73.84,188.49
2026-09-03T10:43:25-04:00,EBAY,3.52,106.74,73.84,97.98
2026-09-03T10:43:25-04:00,ECL,13.16,277.47,73.84,271.83
2026-09-03T10:43:25-04:00,EW,4.74,89.52,73.84,84.92
2026-09-03T10:43:25-04:00,EQT,22.55,56.1,73.84,55.87
2026-09-03T10:43:25-04:00,EFX,7.53,186.89,73.84,186.74
2026-09-03T10:43:25-04:00,ESS,10.81,277.11,73.84,263.53
2026-09-03T10:43:25-04:00,EL,10.66,100.11,73.84,91.5
2026-09-03T10:43:25-04:00,EXPE,6.82,303.63,73.84,257.52
2026-09-03T10:43:25-04:00,EXPD,20.85,184.89,73.84,157.93
2026-09-03T10:43:25-04:00,FRT,25.2,117.56,73.84,109.53
2026-09-03T10:43:25-04:00,FOXA,15.11,67.71,73.84,63.04
2026-09-03T10:43:25-04:00,FOX,24.42,60.46,73.84,56.57
2026-09-03T10:43:25-04:00,BEN,22.8,33.17,73.84,28.06
2026-09-03T10:43:25-04:00,FCX,16.79,72.52,73.84,60.38
2026-09-03T10:43:25-04:00,GRMN,10.42,276.11,73.84,236.82
2026-09-03T10:43:25-04:00,GD,18.75,362.49,73.84,352.18
2026-09-03T10:43:25-04:00,GPC,2.0,135.01,73.84,118.34
2026-09-03T10:43:25-04:00,GPN,3.89,91.91,73.84,75.26
2026-09-03T10:43:25-04:00,GDDY,7.22,102.61,73.84,96.45
2026-09-03T10:43:25-04:00,HAS,22.07,93.14,73.84,88.22
2026-09-03T10:43:25-04:00,DOC,9.7,20.87,73.84,18.15
2026-09-03T10:43:25-04:00,IEX,28.49,221.8,73.84,204.17
2026-09-03T10:43:25-04:00,ITW,29.18,268.94,73.84,264.54
2026-09-03T10:43:25-04:00,INCY,23.69,128.02,73.84,104.51
2026-09-03T10:43:25-04:00,IFF,15.23,86.54,73.84,74.05
2026-09-03T10:43:25-04:00,INVH,4.59,28.61,73.84,27.49
2026-09-03T10:43:25-04:00,IQV,9.5,265.08,73.84,201.6
2026-09-03T10:43:25-04:00,JKHY,13.84,167.37,73.84,159.17
2026-09-03T10:43:25-04:00,J,9.66,146.66,73.84,132.03
2026-09-03T10:43:25-04:00,JNJ,18.35,276.76,73.84,232.71
2026-09-03T10:43:25-04:00,KVUE,11.84,18.9,73.84,17.58
2026-09-03T10:43:25-04:00,KDP,23.48,32.79,73.84,28.78
2026-09-03T10:43:25-04:00,KMB,12.26,107.86,73.84,101.75
2026-09-03T10:43:25-04:00,KIM,25.84,24.06,73.84,22.74
2026-09-03T10:43:25-04:00,KKR,24.52,107.78,73.84,105.32
2026-09-03T10:43:25-04:00,KHC,16.28,25.36,73.84,23.57
2026-09-03T10:43:25-04:00,LIN,2.75,481.56,73.84,478.52
2026-09-03T10:43:25-04:00,LYV,14.17,177.69,73.84,160.01
2026-09-03T10:43:25-04:00,L,23.76,109.76,73.84,108.68
2026-09-03T10:43:25-04:00,MRSH,8.04,188.23,73.84,176.34
2026-09-03T10:43:25-04:00,MAS,7.24,70.32,73.84,68.94
2026-09-03T10:43:25-04:00,MA,6.7,584.44,73.84,528.58
2026-09-03T10:43:25-04:00,MCK,18.2,925.59,73.84,841.19
2026-09-03T10:43:25-04:00,MRK,25.61,150.48,73.84,117.13
2026-09-03T10:43:25-04:00,MTD,5.82,1341.79,73.84,1319.64
2026-09-03T10:43:25-04:00,MGM,8.71,41.19,73.84,39.54
2026-09-03T10:43:25-04:00,MDLZ,13.26,61.26,73.84,58.37
2026-09-03T10:43:25-04:00,MCO,9.9,495.16,73.84,470.91
2026-09-03T10:43:25-04:00,MOS,27.36,25.44,73.84,24.26
2026-09-03T10:43:25-04:00,MSI,24.74,475.02,73.84,420.75
2026-09-03T10:43:25-04:00,MSCI,12.26,570.12,73.84,569.13
2026-09-03T10:43:25-04:00,NDAQ,5.73,97.04,73.84,89.9
2026-09-03T10:43:25-04:00,NSC,20.2,326.0,73.84,306.5
2026-09-03T10:43:25-04:00,OMC,23.01,82.45,73.84,77.03
2026-09-03T10:43:25-04:00,PAYX,8.75,123.81,73.84,101.94
2026-09-03T10:43:25-04:00,PYPL,9.55,54.09,73.84,50.87
2026-09-03T10:43:25-04:00,PFE,17.96,28.66,73.84,25.41
2026-09-03T10:43:25-04:00,PNC,24.21,243.8,73.84,221.79
2026-09-03T10:43:25-04:00,PG,11.35,146.92,73.84,145.81
2026-09-03T10:43:25-04:00,PGR,20.08,223.65,73.84,208.37
2026-09-03T10:43:25-04:00,PTC,10.58,151.02,73.84,149.0
2026-09-03T10:43:25-04:00,PSA,11.27,300.44,73.84,294.27
2026-09-03T10:43:25-04:00,DGX,17.25,240.7,73.84,199.38
2026-09-03T10:43:25-04:00,RTX,23.7,200.74,73.84,191.47
2026-09-03T10:43:25-04:00,O,18.79,61.47,73.84,60.51
2026-09-03T10:43:25-04:00,REG,27.11,76.07,73.84,75.06
2026-09-03T10:43:25-04:00,REGN,9.2,841.26,73.84,729.74
2026-09-03T10:43:25-04:00,RSG,3.76,222.54,73.84,213.99
2026-09-03T10:43:25-04:00,RVTY,9.56,128.95,73.84,102.06
2026-09-03T10:43:25-04:00,ROP,19.15,420.5,73.84,375.03
2026-09-03T10:43:25-04:00,SPGI,14.13,441.53,73.84,428.27
2026-09-03T10:43:25-04:00,NOW,17.36,144.23,73.84,118.71
2026-09-03T10:43:25-04:00,SPG,25.51,210.33,73.84,199.01
2026-09-03T10:43:25-04:00,SW,7.57,44.69,73.84,41.54
2026-09-03T10:43:25-04:00,SYF,9.12,79.23,73.84,74.47
2026-09-03T10:43:25-04:00,SYY,10.55,81.21,73.84,78.62
2026-09-03T10:43:25-04:00,TMO,5.87,608.3,73.84,535.15
2026-09-03T10:43:25-04:00,TFC,28.24,51.03,73.84,48.7
2026-09-03T10:43:25-04:00,UNP,14.48,287.55,73.84,257.41
2026-09-03T10:43:25-04:00,VRTX,25.91,557.87,73.84,465.59
2026-09-03T10:43:25-04:00,VTRS,15.79,16.98,73.84,14.48
2026-09-03T10:43:25-04:00,V,8.05,377.69,73.84,332.4
2026-09-03T10:43:25-04:00,DIS,7.94,107.66,73.84,103.29
2026-09-03T10:43:25-04:00,WAT,11.78,410.42,73.84,360.6
2026-09-03T10:43:25-04:00,WSM,10.06,220.1,73.84,202.8
2026-09-03T10:43:25-04:00,WTW,7.22,339.06,73.84,298.59
2026-09-03T10:43:25-04:00,WDAY,3.57,205.38,73.84,160.32
2026-09-03T10:43:25-04:00,ZBRA,13.9,349.62,73.84,255.98
2026-09-03T10:58:28-04:00,CRL,14.79,289.54,70.0,198.88
2026-09-03T10:58:28-04:00,PPG,22.61,110.35,70.0,109.96
2026-09-03T10:58:28-04:00,QCOM,23.98,167.64,70.0,167.02
2026-09-03T10:58:28-04:00,SBAC,25.18,190.54,70.0,190.51
2026-09-03T10:58:28-04:00,ULTA,14.62,556.4,70.0,556.08
2026-09-03T10:58:28-04:00,WST,10.66,340.21,70.0,292.62
2026-09-03T11:44:06-04:00,UDR,27.62,36.59,80.59,36.56
2026-09-03T12:20:08-04:00,BG,29.04,119.18,72.84,112.68
2026-09-03T12:20:08-04:00,ESS,29.83,277.45,72.84,263.35
2026-09-03T12:20:08-04:00,DOC,28.2,20.92,72.84,18.15
2026-09-03T12:58:21-04:00,HAL,25.34,37.15,66.93,34.43
2026-09-03T13:17:49-04:00,MTD,29.87,1350.04,60.49,1319.68
2026-09-03T13:17:49-04:00,MSI,28.73,475.44,60.49,420.21
2026-09-03T13:17:49-04:00,PTC,24.72,150.38,60.49,149.0
2026-09-03T13:44:03-04:00,BALL,25.2,63.12,66.75,58.63
2026-09-03T13:44:03-04:00,CHD,27.36,98.48,66.75,94.31
2026-09-03T13:44:03-04:00,COP,26.83,135.65,66.75,111.12
2026-09-03T13:44:03-04:00,HAS,28.33,92.42,66.75,88.22
2026-09-03T13:44:03-04:00,MDLZ,28.15,61.14,66.75,58.41
2026-09-03T13:57:55-04:00,LH,21.41,330.94,70.44,273.94
2026-09-03T14:21:58-04:00,BRO,26.03,72.54,68.47,69.17
2026-09-03T14:21:58-04:00,DE,27.28,687.03,68.47,565.02
2026-09-03T14:21:58-04:00,FCX,29.45,72.31,68.47,60.56
2026-09-03T14:21:58-04:00,LYV,25.53,177.25,68.47,160.23
2026-09-03T14:21:58-04:00,MRSH,26.53,188.27,68.47,176.41
2026-09-03T14:21:58-04:00,NUE,27.94,263.02,68.47,204.75
2026-09-03T14:21:58-04:00,STLD,28.87,245.67,68.47,209.21
2026-09-03T14:21:58-04:00,TGT,28.58,164.34,68.47,120.39
2026-09-03T14:21:58-04:00,VTR,29.22,91.88,68.47,84.44
2026-09-03T14:46:50-04:00,CVS,29.83,97.14,64.05,85.53
2026-09-03T14:46:50-04:00,PSX,29.42,254.74,64.05,169.92
2026-09-03T14:46:50-04:00,SLB,29.35,57.47,64.05,48.45
2026-09-03T14:46:50-04:00,UNH,28.51,401.15,64.05,348.73
2026-09-03T15:14:28-04:00,CNC,27.54,67.58,59.05,50.18
2026-09-03T15:14:28-04:00,INVH,26.51,28.47,59.05,27.5
2026-09-03T15:14:28-04:00,KVUE,29.25,18.95,59.05,17.58
2026-09-03T15:14:28-04:00,KMB,27.96,108.26,59.05,101.76
2026-09-03T15:14:28-04:00,LYB,28.62,64.7,59.05,59.14
2026-09-03T15:14:28-04:00,MSI,23.08,472.97,59.05,420.74
2026-09-03T15:14:28-04:00,DIS,29.38,107.42,59.05,103.29
2026-09-03T15:28:25-04:00,CVS,27.8,96.94,51.16,85.52
2026-09-03T15:28:25-04:00,ECL,25.85,278.52,51.16,271.84
2026-09-03T15:28:25-04:00,INCY,23.78,127.65,51.16,104.61
2026-09-03T15:28:25-04:00,IFF,26.97,86.31,51.16,74.04
2026-09-03T15:28:25-04:00,KMI,24.32,31.78,51.16,30.58
2026-09-03T15:28:25-04:00,STX,24.08,782.47,51.16,589.78
2026-09-03T15:28:25-04:00,SYY,29.39,81.14,51.16,78.62
